STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG,TMAX,TMIN
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-28,0,78,83.0,72
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-28,0,80,87.0,75
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-28,0,56,69.0,47
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-28,0,78,89.0,47
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-29,0,81,92.0,67
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-29,0,79,84.0,75
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-29,0,81,90.0,73
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-29,0,57,69.0,45
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-29,0,77,90.0,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-30,0,85,90.0,70
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-30,0,81,90.0,77
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-30,0,83,90.0,74
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-30,0,60,92.0,50
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-30,0,80,92.0,69
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-01-31,0,84,92.0,71
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-01-31,0,81,86.0,78
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-01-31,0,83,94.0,74
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-01-31,0,59,67.0,46
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-01-31,0,80,91.0,46
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-01,0,87,94.0,71
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-01,0,81,86.0,78
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-01,0,84,91.0,76
CE000434730,"NUWARA ELIYA, CE",6.967,80.767,1880.0,2019-02-01,0,60,69.0,46
CEM00043424,"PUTTALAM, CE",8.033,79.833,2.0,2019-02-01,0,80,91.0,71
CEM00043441,"KURUNEGALA, CE",7.467,80.367,116.0,2019-02-02,0,87,93.0,72
CEM00043418,"CHINA BAY, CE",8.539,81.182,1.8,2019-02-02,0,80,84.0,78
CEM00043466,"COLOMBO, CE",6.9,79.867,7.0,2019-02-02,0,82,90.0,76
